version 2020-09-28			
Data_field	Code	Beskrivning/Svensk översättning	Description/English translate
MUNIT	kmNE	kilometers Northeast (fetch)	kilometers Northeast (fetch)
MUNIT	kmNW	kilometers Northwest (fetch)	kilometers Northwest (fetch)
MUNIT	kmS	kilometers South (fetch)	kilometers South (fetch)
MUNIT	kmSE	kilometers Southeast (fetch)	kilometers Southeast (fetch)
MUNIT	kmSW	kilometers Southwest (fetch)	kilometers Southwest (fetch)
MUNIT	kmW	kilometers West (fetch)	kilometers West (fetch)
MUNIT	m	meter	meter
MUNIT	m2	square meter	square meter
MUNIT	mg	milligram	milligram
MUNIT	mg/g	milligram/gram	milligram/gram
MUNIT	mg/kg	milligram/kilogram	milligram/kilogram
MUNIT	mg/l	milligram/ liter	milligram/ liter
MUNIT	mg/m3 (ug/l)	milligram/ cubic meter = microgram/ liter	milligram/ cubic meter = microgram/ liter
MUNIT	mg/ml	milligram/milliliter	milligram/milliliter
MUNIT	mhos	millihos	millihos
MUNIT	mhos/m	mhos/meter	mhos/meter
MUNIT	ml	milliliter	milliliter
MUNIT	mm	millimeter	millimeter
MUNIT	mo	moles	moles
MUNIT	mo/l	moles/liter	moles/liter
MUNIT	mV	millivolt	millivolt
MUNIT	ng	nanogram	nanogram
MUNIT	ng/g	nanogram/gram	nanogram/gram
MUNIT	ng/l	nanogram/liter	nanogram/liter
MUNIT	ng/ml	nanogram/milliliter	nanogram/milliliter
MUNIT	nm/mo	nanomole/mole	nanomole/mole
MUNIT	nr/i	number per individual	number per individual
MUNIT	nr/m2	number of individuals per square meter	number of individuals per square meter
MUNIT	nr25cell	number of 25 cell group	number of 25 cell group
MUNIT	nrcells	number of cells	number of cells
MUNIT	nrcol	number of colonies	number of colonies
MUNIT	nrfil100	number of filaments 100 um	number of filaments 100 um
MUNIT	pg	picogram	picogram
MUNIT	ppm	parts per million	parts per million
MUNIT	ppm (dry weight)	parts per million of dry weight	parts per million of dry weight
MUNIT	ppt	parts per thousand	parts per thousand
MUNIT	st	stage	stage
MUNIT	ug	microgram	microgram
MUNIT	ug/analyzed unit	microgram per analyzed unit	microgram per analyzed unit
MUNIT	ug/g	microgram/gram	microgram/gram
MUNIT	ug/kg	microgram/kilogram	microgram/kilogram
MUNIT	ug/m3	microgram / cubic meter	microgram / cubic meter
MUNIT	um3	cubic micrometer	cubic micrometer
MUNIT	w	week	week
MUNIT	y	year	year
NTYPE	1150	Natura 2000-habitatet Laguner (ospecificerat)	Natura 2000-habitatet Laguner (ospecificerat)
NTYPE	1151	Laguner vid rörlig kust, d.v.s. avgränsade av sandrevlar eller liknande som flyttas	Laguner vid rörlig kust, d.v.s. avgränsade av sandrevlar eller liknande som flyttas
NTYPE	1152	Lagunartade vikar med smala sund	Lagunartade vikar med smala sund
NTYPE	1153	Flada eller förstadium till flada på landhöjningskust	Flada eller förstadium till flada på landhöjningskust
NTYPE	1154	Glo eller gloflada på landhöjningskust	Glo eller gloflada på landhöjningskust
NTYPE	1160	Natura 2000-habitatet Stora grunda vikar och sund	Natura 2000-habitatet Stora grunda vikar och sund
NTYPE	1650	Natura 2000-habitatet Smala vikar i Östersjön	Natura 2000-habitatet Smala vikar i Östersjön
OBSPOINT	L	Observationen gjordes från land	Observation made from Land
OBSPOINT	S	Observationen gjordes från fartyg	Observation made from Ship
OBSPOINT	A	Observationen gjordes från flyg	Observation made from Airplane
PARAM	ABUND	Abundance (i.e. numbers per area)	Abundance (i.e. numbers per area)
PARAM	ALKY	total alkalinity	total alkalinity
PARAM	AMON	ammonium (NH4-N)	ammonium (NH4-N)
PARAM	BMAFDWT	Biomass - ash free dry weight	Biomass - ash free dry weight
PARAM	BMCCONT	Biomass - carbon content	Biomass - carbon content
PARAM	BMCEVOL	Biomass - cell volume (um3)	Biomass - cell volume (um3)
PARAM	CHLA_MGM3	Chlorophyll a concentration (mg/m3 = ug/l)	Chlorophyll a concentration (mg/m3 = ug/l)
PARAM	CINOR	inorganic carbon	inorganic carbon
PARAM	CNDC	electrical conductivity	electrical conductivity
PARAM	CONC	Concentration	Concentration
PARAM	CORG	organic carbon	organic carbon
PARAM	COUNTNR	Abundance number (number counted)	Abundance number (number counted)
PARAM	COVER_AREA	Cover area (m2)	Cover area (m2)
PARAM	CPHL	chlorophyll-a	chlorophyll-a
PARAM	CPHLC	chlorophyll-a (SCOR/UNESCO method)	chlorophyll-a (SCOR/UNESCO method)
PARAM	CPHLL	chlorophyll-a(Lorenz method)	chlorophyll-a(Lorenz method)
PARAM	CTOT	total carbon	total carbon
PARAM	DEPH	depth (of sampling)	depth (of sampling)
PARAM	DEPOS_AREA	Area covered with deposited material (m2)	Area covered with deposited material (m2)
PARAM	DISPT	distance from point source (MATRX=SI)	distance from point source (MATRX=SI)
PARAM	DISTS	distance to shore (MATRX=SI)	distance to shore (MATRX=SI)
PARAM	DOXY	dissolved oxygen	dissolved oxygen
PARAM	DRYWT	Dry weight	Dry weight
PARAM	ESTSR	estimated sedimentation rate (ex. mm/year) (MATRX=SI)	estimated sedimentation rate (ex. mm/year) (MATRX=SI)
PARAM	GSMF1000	Grain Size Mass Fraction <1000 micron	Grain Size Mass Fraction <1000 micron
PARAM	GSMF20	Grain Size Mass Fraction <20 micron	Grain Size Mass Fraction <20 micron
PARAM	GSMF500	Grain Size Mass Fraction <500 micron	Grain Size Mass Fraction <500 micron
PARAM	GSMF63	Grain Size Mass Fraction <63 micron	Grain Size Mass Fraction <63 micron
PARAM	GSMF90	Grain Size Mass Fraction <90 micron	Grain Size Mass Fraction <90 micron
PARAM	K	potassium	potassium
PARAM	LNMAX	length (max) (in combination with matrx)	length (max) (in combination with matrx)
PARAM	LNMEA	length (mean or individual) (in combination with matrx)	length (mean or individual) (in combination with matrx)
PARAM	LNMIN	length (min) (in combination with matrx)	length (min) (in combination with matrx)
PARAM	LOIGN	loss on ignition	loss on ignition
PARAM	N	nitrogen	nitrogen
PARAM	NA	sodium	sodium
PARAM	NORG	organic nitrogen (N)	organic nitrogen (N)
PARAM	NTOT	total nitrogen (N)	total nitrogen (N)
PARAM	NTRA	nitrate (NO3-N)	nitrate (NO3-N)
PARAM	NTRI	nitrite (NO2-N)	nitrite (NO2-N)
PARAM	NTRZ	nitrate + nitrite (-N)	nitrate + nitrite (-N)
PARAM	PH	hydrogen ion concentration (pH)	hydrogen ion concentration (pH)
PARAM	PHOS	phosphate (PO4-P)	phosphate (PO4-P)
PARAM	POC	particulate organic carbon	particulate organic carbon
PARAM	POPDEN	Population density	Population density
PARAM	PSAL	salinity. General measurement, method undefined in code but can be specified in REFSK/METOA (3.2)	salinity. General measurement, method undefined in code but can be specified in REFSK/METOA (3.2)
PARAM	PSALA	salinity. Conductivity measurement by laboratory salinometer. Measurement from water sample (temperature measurement by thermometer assumed)	salinity. Conductivity measurement by laboratory salinometer. Measurement from water sample (temperature measurement by thermometer assumed)
PARAM	PSALB	salinity. Refractive Index/direct density measurement. Measurement from water sample (temperature measurement by thermometer assumed)	salinity. Refractive Index/direct density measurement. Measurement from water sample (temperature measurement by thermometer assumed)
PARAM	PSALC	salinity. Conductivity/salinity measurement from CTD/STD yielding precision in salinity < 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)	salinity. Conductivity/salinity measurement from CTD/STD yielding precision in salinity < 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)
PARAM	PSALD	salinity. Conductivity/salinity measurement from CTD/STD yielding precision in salinity > 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)	salinity. Conductivity/salinity measurement from CTD/STD yielding precision in salinity > 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)
PARAM	PSALE	salinity. Conductivity/salinity measurement from CTD/STD calibrated with at least one in situ sample yielding precision in salinity < 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)	salinity. Conductivity/salinity measurement from CTD/STD calibrated with at least one in situ sample yielding precision in salinity < 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)
PARAM	PSALF	salinity. Conductivity/salinity measurement from CTD/STD calibrated with at least one in situ sample yielding precision in salinity > 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)	salinity. Conductivity/salinity measurement from CTD/STD calibrated with at least one in situ sample yielding precision in salinity > 0.01 x 10-3. Salinity measurement in situ (temperature measurement by thermistor assumed)
PARAM	PSALG	salinity. Conductivity/salinity measurement using instrument yielding precision in salinity > 0.5 x 10-3 (e.g., Switchgear Bridge). Salinity measurement in situ (temperature measurement by thermistor assumed)	salinity. Conductivity/salinity measurement using instrument yielding precision in salinity > 0.5 x 10-3 (e.g., Switchgear Bridge). Salinity measurement in situ (temperature measurement by thermistor assumed)
PARAM	PSALX	salinity calculated from chlorinity by UNESCO/SCOR/IAPSO formula: (PSALX = 1.80655 x CHLR)	salinity calculated from chlorinity by UNESCO/SCOR/IAPSO formula: (PSALX = 1.80655 x CHLR)
PARAM	PTOT	total phosphorus (P)	total phosphorus (P)
PARAM	REDOX	redox potential	redox potential
PARAM	S	sulfur	sulfur
PARAM	SDEPL	sediment depth from surface (lower)	sediment depth from surface (lower)
PARAM	SDEPU	sediment depth from surface (upper)	sediment depth from surface (upper)
PARAM	SECCI	secchi depth	secchi depth
PARAM	SED_AL	Sediment aluminum content (% of wet weight)	Sediment aluminum content (% of wet weight)
PARAM	SED_C	Sediment carbon content (% of wet weight)	Sediment carbon content (% of wet weight)
PARAM	SED_FE	Sediment iron content (% of wet weight)	Sediment iron content (% of wet weight)
PARAM	SED_MG	Sediment magnesium content (% of wet weight)	Sediment magnesium content (% of wet weight)
PARAM	SED_MN	Sediment manganese content (ppm of wet weight)	Sediment manganese content (ppm of wet weight)
PARAM	SED_N	Sediment nitrogen content (% of wet weight)	Sediment nitrogen content (% of wet weight)
PARAM	SED_P	Sediment phosphorus content (% of wet weight)	Sediment phosphorus content (% of wet weight)
PARAM	SED_RATE_DW	Sedimentation rate	Sedimentation rate
PARAM	SED_SI	Sediment silicon content (% of wet weight)	Sediment silicon content (% of wet weight)
PARAM	TEMP	temperature	temperature
PARAM	TURB	turbidity	turbidity
PARAM	WATLD	water level deviation (MATRX=SI)	water level deviation (MATRX=SI)
PARAM	WAVHT	wave height (MATRX=SI)	wave height (MATRX=SI)
PARAM	WAVXP	wave exposure (fetch) (MATRX=SI)	wave exposure (fetch) (MATRX=SI)
PARAM	WETWT	Wet weight	Wet weight
PARAM	WINSP	wind speed (ex. meters/second) (MATRX=SI)	wind speed (ex. meters/second) (MATRX=SI)
PARAM	WTMAX	weight (max) (in combination with matrx)	weight (max) (in combination with matrx)
PARAM	WTMEA	weight (mean or individual) (in combination with matrx)	weight (mean or individual) (in combination with matrx)
PARAM	WTMIN	weight (min) (in combination with matrx)	weight (min) (in combination with matrx)
PDMET	BTH	Bottom to halocline (included)	Bottom to halocline (included)
PDMET	HAU	Haul	Haul
PDMET	HTT	Top of halocline to thermocline (included)	Top of halocline to thermocline (included)
PDMET	IND	Integrated sample	Integrated sample
PDMET	INP	Integrated sample from photic zone	Integrated sample from photic zone
PDMET	MIX	Mixed surface layer	Mixed surface layer
PDMET	OTH	Other - contact ICES for new code	Other - contact ICES for new code
PDMET	PDD	Pooled sample from distinct depths (1,2.5, 5, 7.5, 10 metres)	Pooled sample from distinct depths (1,2.5, 5, 7.5, 10 metres)
PDMET	SEP	Separate depths	Separate depths
PDMET	TTS	Top of thermocline to surface	Top of thermocline to surface
POSYS	DEC	DECCA	DECCA
POSYS	DGP	Differential Global Positioning System	Differential Global Positioning System
POSYS	EST	"Estimated (especially for ""old"" data)"	"Estimated (especially for ""old"" data)"
POSYS	GPS	Global Positioning System	Global Positioning System
POSYS	NOM	Nominal (designated stations)	Nominal (designated stations)
PROJ	BNO	HIST Bornö hängbro	Bornö bridge sampling 
PROJ	FYR	HIST Fyrskepp	Lightship
PROJ	LYS	HIST Havsfiskelaboratoriet Lysekil	Marine fisheries laboratory in Lysekil
PROJ	ALG	NAT Algövervakning	NAT Algae monitoring
PROJ	AR8	NAT Artikel_8	NAT  Article_8
PROJ	ASH	NAT Atlanto Scandian Herring	NAT Atlanto-Scandian Herring   
PROJ	EKO	NAT Baltic International Acoustic Surveys BIAS	NAT Baltic International Acustic Survey (BIAS)
PROJ	COD	NAT Baltic International Trawl Survey BITS	NAT Baltic International Trawl Survey (BITS)
PROJ	GAV	NAT Gavik KKP	NAT Coordinated recipient monitoring of Gavik
PROJ	GOV	NAT GOV kalibrering Argos Ancylus	NAT GOV-calibration R/V Argos- R/V Ancylus
PROJ	IBT	NAT International Bottom Trawl Survey IBTS	NAT International Bottom Trawl Survey (IBTS)
PROJ	IYF	NAT International Young Fish Survey IYFS	NAT International Young Fish Survey
PROJ	NAT	NAT Nationell miljöövervakning	National marine monitoring
PROJ	EXT	NAT Nationell miljöövervakning extra provtagning	National monitoring extra sampling
PROJ	OPC	NAT Oslo-Paris Commission	NAT Oslo-Paris Commission
PROJ	BAS	NAT Nationell BasVerksamhet	NAT National Base Activity
PROJ	SYK	NAT SYKEs BasVerksamhet	NAT SYKEs Base Activity
PROJ	BMP	NAT Östersjöns övervakningsprogram	NAT Baltic Monitoring Progr
PROJ	ALF	PROJ Alsbäck forskningsdata	Research data from the Gullmars fjord,  Alsbäck  
PROJ	AUT	PROJ Automatisk Kasun Boj	Automatic Kasun/Buoy
PROJ	BEX	PROJ Baltic Open Sea Experiment  	Baltic Open Sea Experiment
PROJ	BNK	PROJ Bank kartering vindkraft	Survey of offshore bank, wind turbines.
PROJ	BAI	PROJ Basinventering	Base inventory
PROJ	PBX	PROJ Bottenhavet pelagisk verifikation	Pelagic verification Bothnian Sea
PROJ	PBH	PROJ Bottenviken pelagial mätkampanj	Sampling campaign pelagic 2010  Bothnian Bay
PROJ	PBV	PROJ Bottenviken pelagisk verifikation	Pelagic verification Bothnian Bay
PROJ	PYM	PROJ Västernorrland mätkampanjen	Sampling campaign pelagic Västernorrland
PROJ	BVO	PROJ Bottniska viken året	Gulf of Bothnia year (1991)
PROJ	BVI	PROJ Bottniska viken överenskommelsen 	Gulf of Bothnia agreement 
PROJ	BRO	PROJ Brofjorden	The Brofjorden project 
PROJ	GUB	PROJ Byfjorden BOX	Byfjorden BOX-project
PROJ	DMX	PROJ DIAMIX	DIAMIX
PROJ	OPM	PROJ Eg östersjön pelagial mätkampanj	Sampling campaign pelagic 2010  Baltic Proper
PROJ	ENN	PROJ Enningsdalsälven INTERREG	Interregproject Enningdalsälven
PROJ	TRA	PROJ Ferrybox Transpaper och Color Fantasy	Ferrybox Transpaper and Color Fantasy
PROJ	GPM	PROJ Gotland pelagial mätkampanj	Sampling campaign pelagic 2010  County Administration Board of Gotland
PROJ	GGV	PROJ Gotlands grunda vikar	Gotlands shallow bays
PROJ	GVI	PROJ Grunda vikar	Shallow bays
PROJ	GSK	PROJ Gårdskärskusten	Inventory of epibenthic fauna in the Uppsala county coast of Gårdskär
PROJ	GSF	PROJ Göteborg säkrare farled	Gothenburg Port safe fairway
PROJ	HAB	PROJ HABILE	Harmful Algae Bloom Initiation in Large European Marine Ecosystems (HABILE)
PROJ	HAP	PROJ Haparanda dykinventering	Dive transect inventories in Haparanda
PROJ	IEH	PROJ Inventering av marin epibentisk fauna i grunda vikar i Höga kusten	Inventory marine epibenthic fauna in shallow bays in Höga kusten
PROJ	IMV	PROJ Inventering av makrofyter på havsbottnar i Västerbotten 	Inventory of bottom-living macrophytes in Västerbotten county
PROJ	IGA	PROJ Inventering Gävleborg	Inventory Gävleborg
PROJ	IME	PROJ Inventering av marin epibentisk fauna på djupa bottnar	Inventory deep marine epibenthic fauna
PROJ	IEV	PROJ Inventering av epibentiska fauna i Västerhavet	Inventory of epibenthic fauna in the Kattegatt and Skagerrak seas
PROJ	NFK	PROJ Inventering naturvärden Flakskär- Kållefjärden	Inventory Flakskar-Kallefjarden
PROJ	JOU	PROJ Inventering  naturvärden  Järkö-Ornö och Uttorp	Inventory Jarko-Orno and Uttorp
PROJ	IKV	PROJ Inventering ROV Koster-Väderöfjorden	Inventory Koster
PROJ	JCO	PROJ JERICO	Joint European research infrastructure network for coastal observatories (JERICO)
PROJ	KHB	PROJ Kartering Hoburgs bank	Mapping Hoburgs bank
PROJ	KRS	PROJ Kartering rev sandbankar Skåne	Mapping_reef_sandbanks_Skåne
PROJ	KSL	PROJ Kontrollprogram SLV musselodlingar	Monitoring program SLV mussel farms
PROJ	LEP	PROJ Laholm eutrophication project	Laholm Eutrophication Project  
PROJ	BAL	PROJ Levande kust Baltic2020	Living coast Balticsea2020
PROJ	LSE	PROJ Läsö sektion	Läsö section
PROJ	MSB	PROJ Marin Modellering Skåne Blekinge	Marine_Modeling_Skåne_Blekinge
PROJ	MSS	PROJ Marin Modellering Stockholm Södermanland	Marine_Modeling_Stockholm_Södermanland
PROJ	MNK	PROJ Marin Naturvärdes kartering	Marine mapping
PROJ	MAR	PROJ MARMONI	MARMONI
PROJ	NGV	PROJ Norrlands grunda vikar	Norrland shallow bays
PROJ	NYV	PROJ Nya varvet	Bridge sampling, Nya Varvet  Göteborg
PROJ	XXX	PROJ Ospecificerat	Unspecified project
PROJ	PEX	PROJ Patchiness experiment PEX	Patchiness Experiment
PROJ	PPX	PROJ Patchiness experiment pre PEX	Pre-Patchiness Experiment
PROJ	RKA	PROJ Råneå och Kalix dykinventering	Dive transect inventories in Råneå and Kalix
PROJ	SAM	PROJ Sambah	Sambah
PROJ	SMB	PROJ SEAmBOTH 	SEAmBOTH
PROJ	SNT	PROJ Skagerrak närsaltstransport	Skagerrak nutrient transport
PROJ	SKX	PROJ SKAGEX	SKAGEX
PROJ	PSL	PROJ Slussen	Slussen
PROJ	SOE	PROJ State Of Environment	PROJ State Of Environment
PROJ	OFF	PROJ Svenska Offentliga Data	Swedish Public Data
PROJ	THK	PROJ Transp sec hansth Kristand	Transport Hanstholm-Kristsand
PROJ	UEV	PROJ Undersökning av epibentisk fauna i Västerhavet	Monitoring of epibenthic fauna in the Skagerrak and Kattegatt seas
PROJ	UPP	PROJ Uppföljning naturtyper	Monitoring follow up habitats
PROJ	UTS	PROJ Utsjöbanksinventeringen	Outer sea bank mapping
PROJ	WAT	PROJ WATERS	Waterbody Assessment Tools for Ecological Reference conditions and status in Sweden (WATERS)
PROJ	WOC	PROJ World Ocean Circulation Experiment   	World Ocean Circulation Experiment     
PROJ	PMV	PROJ Västra götaland pelagial mätkampanj	Sampling campaign pelagic 2011  County Administration Board of Västra Götland
PROJ	OST	PROJ Östergötland Inre Kärrö	Benthic survey of mussel cultivation effects
PROJ	HTX	PROJ Etableringsprogram Haparanda-Torneås kustvatten 2018-2019 BDK 	Verification of recipient monitoring Haparanda-Torneå recipient monitoring Municipality of Norrbotten 2018-2019
PROJ	RAS	REG Askö	Regional monitoring Askö
PROJ	BIL	REG Billerud RK	Recipient monitoring of Billerud  
PROJ	KLS	REG Blekinge län	Regional monitoring, The County Administration Board of Blekinge
PROJ	BLK	REG Blekinge SRK	Coordinated recipient monitoring of Blekingekusten
PROJ	BEV	REG Bohuskustens extra vårprovtagning	Coordinated recipient monitoring of Bohuskusten,  extra spring sampling
PROJ	BGV	REG Bohuskustens grunda vikar	Bohuskusten shallow bays
PROJ	BOS	REG Bohuskustens KKP SRK	Coordinated recipient monitoring of Bohuskusten
PROJ	BOX	REG Bohuskustens KKP SRK fjordmodell 96      	Coordinated recipient monitoring of Bohuskustens, extra fjord model -96
PROJ	BOG	REG Bohuskustens KKP SRK götaälv extremflöde	Coordinated recipient monitoring of Bohuskusten, extreme flows in the Göta älv. 
PROJ	BOL	REG Boliden RK	Recipient monitoring of Boliden
PROJ	BOV	REG Bottniska viken	Bothnian bay
PROJ	ACB	REG Bureå RK	Recipient monitoring of Bureå waste water plant
PROJ	ACY	REG Byske RK	Recipient monitoring of Byske waste water plant
PROJ	DVF	REG Dalälven SRK	Coordinated recipient monitoring of Dalälven
PROJ	YDR	REG Domsjö RK	Recipient monitoring of Domsjö Factory AB
PROJ	EDV	REG Edsvikens miljökontrollprogram	The Edsviken monitoring program
PROJ	ELL	REG Elleholm RK	Recipient monitoring of Elleholm
PROJ	FIG	REG Figeholm RK	Recipient monitoring of Figeholm
PROJ	FIK	REG Fiskodling Kalmar RK	Recipient monitoring of fishfarms in Kalmar
PROJ	YNR	REG Fiskodling Nätrafjärden RK	Recipient monitoring of Nätrafjärden fishfarm
PROJ	YOF	REG Fiskodling Omne RK	Recipient monitoring of Omne fishfarm
PROJ	OUN	REG Fiskodling Omne Ullånger Nätrafjärden RK	Recipient monitoring of Omne,  Ullånger-  and Nätrafjärden fishfarms
PROJ	YUF	REG Fiskodling Ullånger RK	Recipient monitoring of Ullånger fishfarm
PROJ	FOR	REG Forsmark RK 	Recipient monitoring of Forsmark nuclear power plant
PROJ	ABF	REG Fållnäsviken RK	Recipient monitoring, Fållnäsviken
PROJ	ILS	REG Gotland	Regional monitoring Gotland
PROJ	ABG	REG Granfjärden	Monitoring program for Granfjärden 
PROJ	GKP	REG Gullmarns KP	The Gullmarsfjord monitoring program
PROJ	GBU	REG Gästriklands kustvatten SRK	Coordinated recipient monitoring of Gästrikland
PROJ	GAK	REG Gästriklands kustvatten SRK pelagisk verifikation	Coordinated recipient monitoring of Gästrikland, pelagic verification
PROJ	XLS	REG Gävleborgs län	Regional monitoring, The County Administration Board of Gävleborg
PROJ	HAL	REG Hallands KVK	Coordinated recipient monitoring of Halland
PROJ	NLS	REG Hallands län	Regional monitoring, The County Administration Board of Halland
PROJ	HAR	REG Hallsta RK	Recipient monitoring of Hallsta
PROJ	HEL	REG Helsingborg KKP	Coordinated recipient monitoring of Helsingborg
PROJ	ABU	REG Hammarviken RK	Recipient monitoring, Hammarviken
PROJ	ABH	REG Holmen	Recipient monitoring of Holmen
PROJ	HOL	REG Holmöreservatet	Monitoring program for the Holmö Sanctuary
PROJ	YHR	REG Husum RK	Recipient monitoring of Husum
PROJ	ACH	REG Hörnefors RK	Recipient monitoring of Hörnefors waste water plant
PROJ	VHRK	REG Västra Hanöbukten RK	Recipient monitoring of Västra Hanöbukten
PROJ	IGG	REG Iggesund RK	Recipient monitoring of Iggesunds factory  
PROJ	KAL	REG Kalmar KVK	Coordinated recipient monitoring of Kalmar
PROJ	HLS	REG Kalmar län	Regional monitoring, The County Administration Board of Kalmar
PROJ	KFJ	REG Kungsbackafjorden	Monitoring program for Kungsbackafjorden 
PROJ	ACK	REG Kåge RK	Recipient monitoring of Kåge waste water plant
PROJ	LAH	REG Laholmsbukten	Monitoring program for Laholmsbukten
PROJ	SAP	REG Länsstyrelsernas särskilda åtgärdsprojekt	The County boards special action project
PROJ	ABM	REG Marum och Ösbyfjärden	Recipient monitoring of Marum and Ösbyfjärden
PROJ	MSV	REG Motala ströms SRK	Coordinated recipient monitoring of Motala ström
PROJ	MAT	REG Mätkampanj	Measurement campaign
PROJ	YNA	REG Nedre ångermanälven SRK	Coordinated recipient monitoring of Nedre Ångermanälven
PROJ	ABK	REG Nacka Lokal miljöövervakning	Regional monitoring Nacka
PROJ	ACN	REG Nordmalingsfjärden SRK	Coordinated recipient monitoring of Nordmalingsfjärden
PROJ	SKL	REG Nordvästskånes kustvattenkommitté SRK	Coordinated recipient monitoring of Nordvästra skåne
PROJ	NHV	REG Nordöstra Hälsinglands kustvatten SRK	Coordinated recipient monitoring of NE Hälsingland
PROJ	BDK	REG Norrbottens län	Coordinated recipient monitoring of Norrbotten
PROJ	NKS	REG Norrbottenskusten Kalix SRK	Coordinated recipient monitoring of Norrbotten (Kalix)
PROJ	NKL	REG Norrbottenskusten Luleå SRK	Coordinated recipient monitoring of Norrbotten (Luleå)
PROJ	NKP	REG Norrbottenskusten Piteå SRK	Coordinated recipient monitoring of Norrbotten (Piteå)
PROJ	NOB	REG Norrsundetsbruk RK	Recipient monitoring of Norrsundetsbruk
PROJ	ABN	REG Norrtäljes kommun RK	Recipient monitoring of the Municipality of Norrtälje
PROJ	ABA	REG Norviksfjärden RK	Recipient monitoring, Norviksfjärden
PROJ	DNF	REG Nyköpings fjärdar RK	Recipient monitoring in the bays of Nyköping
PROJ	RXX	REG Ospecificerat	Unspecified regional monitoring 
PROJ	XRK	REG Ospecificerad RK	Unspecified recipient monitoring 
PROJ	DOX	REG Oxelösund SRK	Coordinated recipient monitoring of Oxelösund
PROJ	RNE	REG Råneåfjärden KK BDlän	REG Råneåfjärden KK BDlän
PROJ	YSR	REG Skatan RK	Recipient monitoring of Skatan  
PROJ	ACS	REG Skellefteälven SRK	Coordinated recipient monitoring of Skellefteälven
PROJ	STV	REG Stockholm vatten SRK	Recipient monitoring of Stockholm
PROJ	ALS	REG Stockholms län	Regional monitoring, The County Administration Board of Stockholm
PROJ	YSB	REG Sundsvallsbuktens SRK	Coordinated recipient monitoring of Sundsvallsbukten
PROJ	SVF	REG Svealands KKP synoptiska karteringar	Coordinated recipient monitoring of Svealand 
PROJ	SYD	REG Sydkustens SRK	Coordinated recipient monitoring of Sydkusten
PROJ	DLS	REG Södermanlands län	Regional monitoring, The County Administration Board of Södermanland
PROJ	LVX	REG Södra Hälsinglands kustvatten SRK	Coordinated recipient monitoring of S Hälsingland
PROJ	SOH	REG Sölvesborgs hamn deponering RK	Recipient monitoring of Sölvesborgs port
PROJ	TKV	REG Torne- och Kalix älvars vattenvårdsförbund SRK	Coordinated recipient monitoring of Torne- and Kalixälven
PROJ	ABT	REG Täby kommun RK	Recipient monitoring of the Municipality of Täby
PROJ	ACT	REG Täfteå RK	Recipient monitoring of Täfteå waste water plant  
PROJ	ACU	REG Ume och Vindelälvens SRK	Coordinated recipient monitoring of Ume- and Vindelälven
PROJ	VLI	REG Vindkraft Lillgrund RK	Recipient monitoring of windpower Lillgrund
PROJ	VAB	REG Väröbruk RK	Recipient monitoring of Väröbruk
PROJ	YRM	REG Västernorrlands län	Regional monitoring, County Administration Board of Västernorrland
PROJ	VGL	REG Västra Götalands län	Regional monitoring, County Administration Board of Västra Götaland
PROJ	HNO	REG Västra Hanöbukten SRK	Coordinated recipient monitoring of Västra Hanöbukten
PROJ	ORE	REG Öresunds vattenvårdsförbund SRK	Coordinated recipient monitoring of Öresund
PROJ	YOS	REG Örnsköldsvik SRK	Coordinated recipient monitoring of Örnsköldsvik
PROJ	ELS	REG Östergötlands län	Regional monitoring, County Administration Board of Österötland
PROJ	ECONNET	PROJ Västernorrland Bottenfaunainventering ECONNET	Zoobenthos monitoring ECONNET, County Administration Board of Västernorrland
PROJ	OFJ	REG Östhammars kommun RK	Recipient monitoring of Östhammar Municipality 
PURPM	B	biological effects monitoring	biological effects monitoring
PURPM	E	eutrophication effects monitoring	eutrophication effects monitoring
PURPM	H	human health risk assessment	human health risk assessment
PURPM	N	no specific purpose	no specific purpose
PURPM	R	Research	Research
PURPM	S	spatial (geographical) distribution monitoring	spatial (geographical) distribution monitoring
PURPM	T	temporal trend monitoring	temporal trend monitoring
QFLAG	<	Värdet understiger mätområdets undre gräns (även kallat rapporteringsgräns)	Value is under the lower limit of the measurement range (also called limit of quantification)
QFLAG	>	Värdet överstiger mätområdets övre gräns	Value exceeds the upper limit of the measurement range
QFLAG	B	Dåligt/ felaktigt värde	Bad/wrong value
QFLAG	Blank	Data kontrollerad av datavärd eller av dataleverantör.	Data controlled by data host or by data deliverer.
QFLAG	E	Misstänkt extremvärde som kontrollerats och funnits korrekt. 	Suspect extrem value that is checked and OK
QFLAG	M	Värde saknas	Value missing
QFLAG	R	Uppskattat värde (genom interpolation eller extrapolation) 	Interpolation or Extrapolation) 
QFLAG	S	Misstänkt värde - anses misstänkt baserat på kvalitetskontroll eller brister i provtagning/ analys	Suspect value - defined suspect based on quality control or poor sampling and analys
